PrecipDiff,Date
0.14,01.1950
0.03,02.1950
0.03,03.1950
0.13,04.1950
0.13,05.1950
-0.02,06.1950
-0.28,07.1950
-0.09,08.1950
0.08,09.1950
-0.01,10.1950
-0.01,11.1950
,12.1950
0.01,01.1951
0.0,02.1951
-0.05,03.1951
-0.13,04.1951
-0.1,05.1951
-0.2,06.1951
-0.07,07.1951
-0.15,08.1951
-0.16,09.1951
-0.02,10.1951
-0.02,11.1951
-0.01,12.1951
0.01,01.1952
0.03,02.1952
-0.05,03.1952
0.15,04.1952
0.03,05.1952
,06.1952
-0.14,07.1952
-0.07,08.1952
0.01,09.1952
0.0,10.1952
0.11,11.1952
0.04,12.1952
0.02,01.1953
0.02,02.1953
-0.03,03.1953
0.17,04.1953
0.04,05.1953
-0.05,06.1953
-0.05,07.1953
0.01,08.1953
0.04,09.1953
0.02,10.1953
0.02,11.1953
0.01,12.1953
0.07,01.1954
0.01,02.1954
-0.02,03.1954
0.07,04.1954
-0.02,05.1954
0.01,06.1954
0.0,07.1954
0.0,08.1954
0.01,09.1954
-0.01,10.1954
,11.1954
0.02,12.1954
0.02,01.1955
0.01,02.1955
0.05,03.1955
0.04,04.1955
0.08,05.1955
0.04,06.1955
-0.02,07.1955
0.0,08.1955
-0.01,09.1955
-0.18,10.1955
0.02,11.1955
0.01,12.1955
0.03,01.1956
0.07,02.1956
-0.03,03.1956
0.05,04.1956
0.07,05.1956
-0.01,06.1956
-0.07,07.1956
-0.01,08.1956
0.01,09.1956
-0.05,10.1956
0.07,11.1956
0.06,12.1956
0.05,01.1957
0.03,02.1957
0.05,03.1957
0.3,04.1957
0.17,05.1957
-0.22,06.1957
-0.04,07.1957
-0.02,08.1957
-0.06,09.1957
0.02,10.1957
0.11,11.1957
0.05,12.1957
0.02,01.1958
-0.01,02.1958
0.05,03.1958
0.25,04.1958
-0.03,05.1958
-0.08,06.1958
-0.11,07.1958
0.03,08.1958
-0.03,09.1958
,10.1958
0.0,11.1958
0.03,12.1958
-0.01,01.1959
0.05,02.1959
0.04,03.1959
-0.04,04.1959
-0.07,05.1959
0.1,06.1959
-0.13,07.1959
-0.11,08.1959
0.0,09.1959
0.1,10.1959
0.05,11.1959
0.04,12.1959
0.03,01.1960
0.02,02.1960
-0.02,03.1960
0.02,04.1960
-0.07,05.1960
-0.09,06.1960
-0.05,07.1960
-0.17,08.1960
-0.04,09.1960
-0.1,10.1960
0.01,11.1960
0.08,12.1960
0.11,01.1961
0.03,02.1961
-0.06,03.1961
0.0,04.1961
-0.1,05.1961
0.11,06.1961
-0.14,07.1961
-0.12,08.1961
-0.07,09.1961
-0.07,10.1961
0.0,11.1961
0.04,12.1961
0.0,01.1962
0.05,02.1962
0.05,03.1962
0.16,04.1962
0.02,05.1962
0.07,06.1962
-0.09,07.1962
0.0,08.1962
-0.14,09.1962
0.09,10.1962
0.08,11.1962
0.01,12.1962
-0.01,01.1963
0.01,02.1963
-0.03,03.1963
0.2,04.1963
-0.12,05.1963
-0.13,06.1963
-0.02,07.1963
0.0,08.1963
-0.1,09.1963
-0.07,10.1963
0.01,11.1963
0.04,12.1963
0.09,01.1964
0.02,02.1964
0.08,03.1964
-0.01,04.1964
-0.1,05.1964
-0.11,06.1964
-0.06,07.1964
-0.12,08.1964
0.23,09.1964
-0.03,10.1964
0.01,11.1964
0.01,12.1964
0.07,01.1965
0.17,02.1965
0.03,03.1965
-0.02,04.1965
0.09,05.1965
-0.22,06.1965
-0.12,07.1965
-0.09,08.1965
-0.11,09.1965
0.05,10.1965
0.08,11.1965
-0.01,12.1965
0.04,01.1966
0.05,02.1966
0.03,03.1966
0.29,04.1966
0.08,05.1966
0.09,06.1966
0.05,07.1966
0.07,08.1966
0.12,09.1966
0.03,10.1966
0.02,11.1966
0.03,12.1966
0.0,01.1967
0.01,02.1967
0.05,03.1967
0.09,04.1967
0.08,05.1967
-0.17,06.1967
-0.07,07.1967
-0.04,08.1967
0.09,09.1967
0.04,10.1967
