TempDiff,Date
17.5,01.1950
13.6,02.1950
13.7,03.1950
11.1,04.1950
8.2,05.1950
4.6,06.1950
7.8,07.1950
9.4,08.1950
6.8,09.1950
6.8,10.1950
12.3,11.1950
12.0,12.1950
13.8,01.1951
11.8,02.1951
16.9,03.1951
12.8,04.1951
7.4,05.1951
9.5,06.1951
8.4,07.1951
10.7,08.1951
13.3,09.1951
13.0,10.1951
12.7,11.1951
16.5,12.1951
17.6,01.1952
13.8,02.1952
14.9,03.1952
8.6,04.1952
6.6,05.1952
2.8,06.1952
5.2,07.1952
10.0,08.1952
7.0,09.1952
8.5,10.1952
11.6,11.1952
13.6,12.1952
14.5,01.1953
9.8,02.1953
12.2,03.1953
10.7,04.1953
7.2,05.1953
4.4,06.1953
6.4,07.1953
5.2,08.1953
4.0,09.1953
6.2,10.1953
7.0,11.1953
8.4,12.1953
14.9,01.1954
10.5,02.1954
13.3,03.1954
8.4,04.1954
7.5,05.1954
5.4,06.1954
1.3,07.1954
3.2,08.1954
4.3,09.1954
8.9,10.1954
6.4,11.1954
12.4,12.1954
11.6,01.1955
16.4,02.1955
14.1,03.1955
7.1,04.1955
8.3,05.1955
6.4,06.1955
1.4,07.1955
3.6,08.1955
6.6,09.1955
9.1,10.1955
14.6,11.1955
14.0,12.1955
15.3,01.1956
14.6,02.1956
13.0,03.1956
11.6,04.1956
7.6,05.1956
3.9,06.1956
6.7,07.1956
4.4,08.1956
6.4,09.1956
6.2,10.1956
8.9,11.1956
12.8,12.1956
17.4,01.1957
14.5,02.1957
8.7,03.1957
8.3,04.1957
7.9,05.1957
7.5,06.1957
4.6,07.1957
5.0,08.1957
9.0,09.1957
7.1,10.1957
9.8,11.1957
11.2,12.1957
10.1,01.1958
14.0,02.1958
12.7,03.1958
7.9,04.1958
4.2,05.1958
6.0,06.1958
7.3,07.1958
6.5,08.1958
7.0,09.1958
5.7,10.1958
8.9,11.1958
10.4,12.1958
15.9,01.1959
15.2,02.1959
9.7,03.1959
8.0,04.1959
7.4,05.1959
4.4,06.1959
6.7,07.1959
3.1,08.1959
8.7,09.1959
10.9,10.1959
9.6,11.1959
9.6,12.1959
13.2,01.1960
14.4,02.1960
15.2,03.1960
8.1,04.1960
7.5,05.1960
7.6,06.1960
7.9,07.1960
4.8,08.1960
7.1,09.1960
9.0,10.1960
11.0,11.1960
10.7,12.1960
9.5,01.1961
13.2,02.1961
12.7,03.1961
10.2,04.1961
9.8,05.1961
3.7,06.1961
3.5,07.1961
6.0,08.1961
10.1,09.1961
7.7,10.1961
10.9,11.1961
16.4,12.1961
13.9,01.1962
16.2,02.1962
10.6,03.1962
9.2,04.1962
2.3,05.1962
4.9,06.1962
5.5,07.1962
5.1,08.1962
8.5,09.1962
8.1,10.1962
10.1,11.1962
12.3,12.1962
15.5,01.1963
9.4,02.1963
11.1,03.1963
9.9,04.1963
6.7,05.1963
4.3,06.1963
4.8,07.1963
6.1,08.1963
6.6,09.1963
5.8,10.1963
11.1,11.1963
13.7,12.1963
7.0,01.1964
7.6,02.1964
13.5,03.1964
7.6,04.1964
3.1,05.1964
4.1,06.1964
2.0,07.1964
8.5,08.1964
6.0,09.1964
4.8,10.1964
10.4,11.1964
15.8,12.1964
12.0,01.1965
11.4,02.1965
10.2,03.1965
8.0,04.1965
4.1,05.1965
3.6,06.1965
4.3,07.1965
5.9,08.1965
11.0,09.1965
6.3,10.1965
12.4,11.1965
11.6,12.1965
12.1,01.1966
11.8,02.1966
7.2,03.1966
10.3,04.1966
5.1,05.1966
3.3,06.1966
1.4,07.1966
6.7,08.1966
7.2,09.1966
6.9,10.1966
12.5,11.1966
12.6,12.1966
14.0,01.1967
10.5,02.1967
12.8,03.1967
9.6,04.1967
7.4,05.1967
6.9,06.1967
6.6,07.1967
8.4,08.1967
8.2,09.1967
7.8,10.1967
12.4,11.1967
12.5,12.1967
11.9,01.1968
10.4,02.1968
6.6,03.1968
7.9,04.1968
11.4,05.1968
3.4,06.1968
0.7,07.1968
5.5,08.1968
6.8,09.1968
8.5,10.1968
12.2,11.1968
16.7,12.1968
18.9,01.1969
13.9,02.1969
13.6,03.1969
9.1,04.1969
6.8,05.1969
8.8,06.1969
