OkPrecip,Date
0.06,01.1950
0.05,02.1950
0.0,03.1950
0.03,04.1950
0.33,05.1950
0.09,06.1950
0.3,07.1950
0.09,08.1950
0.05,09.1950
0.06,10.1950
0.02,11.1950
0.0,12.1950
0.06,01.1951
0.08,02.1951
0.04,03.1951
0.13,04.1951
0.23,05.1951
0.16,06.1951
0.1,07.1951
0.07,08.1951
0.15,09.1951
0.05,10.1951
0.05,11.1951
0.0,12.1951
0.03,01.1952
0.07,02.1952
0.1,03.1952
0.06,04.1952
0.19,05.1952
0.03,06.1952
0.1,07.1952
0.09,08.1952
0.01,09.1952
,10.1952
0.07,11.1952
0.03,12.1952
0.03,01.1953
0.04,02.1953
0.14,03.1953
0.14,04.1953
0.05,05.1953
0.04,06.1953
0.15,07.1953
0.13,08.1953
0.05,09.1953
0.2,10.1953
0.02,11.1953
0.04,12.1953
0.01,01.1954
0.02,02.1954
0.02,03.1954
0.1,04.1954
0.2,05.1954
0.03,06.1954
0.03,07.1954
0.04,08.1954
0.02,09.1954
0.06,10.1954
0.0,11.1954
0.04,12.1954
0.03,01.1955
0.05,02.1955
0.05,03.1955
0.03,04.1955
0.3,05.1955
0.22,06.1955
0.01,07.1955
0.1,08.1955
0.16,09.1955
0.27,10.1955
0.0,11.1955
0.0,12.1955
0.01,01.1956
0.05,02.1956
0.02,03.1956
0.08,04.1956
0.16,05.1956
0.08,06.1956
0.07,07.1956
0.03,08.1956
0.01,09.1956
0.12,10.1956
0.05,11.1956
0.06,12.1956
0.05,01.1957
0.03,02.1957
0.07,03.1957
0.24,04.1957
0.28,05.1957
0.29,06.1957
0.02,07.1957
0.03,08.1957
0.19,09.1957
0.09,10.1957
0.08,11.1957
0.02,12.1957
0.04,01.1958
0.03,02.1958
0.11,03.1958
0.07,04.1958
0.1,05.1958
0.24,06.1958
0.07,07.1958
0.11,08.1958
0.13,09.1958
,10.1958
0.02,11.1958
0.04,12.1958
0.01,01.1959
0.02,02.1959
0.05,03.1959
0.09,04.1959
0.25,05.1959
0.1,06.1959
0.27,07.1959
0.13,08.1959
0.26,09.1959
0.2,10.1959
0.03,11.1959
0.11,12.1959
0.05,01.1960
0.07,02.1960
0.03,03.1960
0.1,04.1960
0.22,05.1960
0.19,06.1960
0.25,07.1960
0.09,08.1960
0.05,09.1960
0.15,10.1960
0.01,11.1960
0.08,12.1960
0.0,01.1961
0.07,02.1961
0.11,03.1961
0.02,04.1961
0.06,05.1961
0.13,06.1961
0.16,07.1961
0.09,08.1961
0.25,09.1961
0.09,10.1961
0.13,11.1961
0.03,12.1961
0.05,01.1962
0.04,02.1962
0.03,03.1962
0.07,04.1962
0.09,05.1962
0.26,06.1962
0.06,07.1962
0.07,08.1962
0.1,09.1962
0.08,10.1962
0.04,11.1962
0.02,12.1962
0.01,01.1963
0.01,02.1963
0.1,03.1963
0.09,04.1963
0.06,05.1963
0.08,06.1963
0.2,07.1963
0.05,08.1963
0.06,09.1963
0.07,10.1963
0.08,11.1963
0.03,12.1963
0.03,01.1964
0.07,02.1964
0.04,03.1964
0.07,04.1964
0.17,05.1964
0.03,06.1964
0.06,07.1964
0.16,08.1964
0.1,09.1964
0.03,10.1964
0.18,11.1964
0.02,12.1964
0.03,01.1965
0.03,02.1965
0.03,03.1965
0.11,04.1965
0.07,05.1965
0.12,06.1965
0.05,07.1965
0.11,08.1965
0.13,09.1965
0.03,10.1965
0.0,11.1965
0.08,12.1965
0.03,01.1966
0.09,02.1966
0.04,03.1966
0.12,04.1966
0.03,05.1966
0.09,06.1966
0.08,07.1966
0.22,08.1966
0.09,09.1966
0.01,10.1966
0.03,11.1966
0.01,12.1966
0.02,01.1967
0.01,02.1967
0.08,03.1967
0.19,04.1967
0.14,05.1967
0.08,06.1967
0.04,07.1967
0.05,08.1967
0.11,09.1967
0.09,10.1967
0.01,11.1967
0.03,12.1967
0.07,01.1968
0.04,02.1968
0.09,03.1968
0.1,04.1968
0.27,05.1968
0.08,06.1968
0.05,07.1968
0.12,08.1968
0.09,09.1968
0.08,10.1968
0.14,11.1968
0.04,12.1968
0.01,01.1969
0.07,02.1969
0.1,03.1969
0.06,04.1969
0.13,05.1969
0.16,06.1969
0.05,07.1969
0.08,08.1969
0.22,09.1969
0.05,10.1969
0.0,11.1969
0.05,12.1969
0.01,01.1970
0.01,02.1970
0.07,03.1970
0.18,04.1970
0.21,05.1970
0.08,06.1970
0.04,07.1970
0.03,08.1970
0.32,09.1970
0.11,10.1970
0.03,11.1970
0.01,12.1970
0.02,01.1971
0.07,02.1971
0.0,03.1971
0.02,04.1971
0.09,05.1971
0.17,06.1971
0.13,07.1971
0.07,08.1971
0.14,09.1971
0.08,10.1971
0.01,11.1971
0.09,12.1971
0.01,01.1972
0.01,02.1972
0.04,03.1972
0.1,04.1972
0.13,05.1972
0.05,06.1972
0.1,07.1972
0.06,08.1972
0.07,09.1972
0.23,10.1972
0.08,11.1972
0.03,12.1972
0.11,01.1973
0.01,02.1973
0.22,03.1973
0.08,04.1973
0.12,05.1973
0.21,06.1973
0.11,07.1973
0.04,08.1973
0.27,09.1973
0.1,10.1973
0.09,11.1973
0.02,12.1973
0.0,01.1974
0.1,02.1974
0.1,03.1974
0.16,04.1974
0.16,05.1974
0.11,06.1974
0.02,07.1974
0.14,08.1974
0.21,09.1974
0.18,10.1974
0.08,11.1974
0.05,12.1974
0.06,01.1975
0.07,02.1975
0.06,03.1975
0.06,04.1975
0.28,05.1975
0.16,06.1975
0.25,07.1975
0.02,08.1975
0.06,09.1975
0.03,10.1975
0.06,11.1975
0.04,12.1975
,01.1976
0.01,02.1976
0.1,03.1976
0.1,04.1976
0.14,05.1976
0.03,06.1976
0.04,07.1976
0.05,08.1976
0.05,09.1976
0.06,10.1976
0.0,11.1976
0.01,12.1976
0.01,01.1977
0.05,02.1977
0.04,03.1977
0.1,04.1977
0.26,05.1977
0.07,06.1977
0.13,07.1977
0.1,08.1977
0.04,09.1977
0.08,10.1977
0.05,11.1977
0.01,12.1977
0.04,01.1978
0.12,02.1978
0.04,03.1978
0.06,04.1978
0.33,05.1978
0.13,06.1978
0.12,07.1978
0.01,08.1978
0.03,09.1978
0.03,10.1978
0.1,11.1978
0.02,12.1978
0.05,01.1979
0.02,02.1979
0.09,03.1979
0.09,04.1979
0.24,05.1979
0.33,06.1979
0.18,07.1979
0.12,08.1979
0.02,09.1979
0.05,10.1979
0.06,11.1979
0.08,12.1979
0.05,01.1980
0.04,02.1980
0.04,03.1980
0.07,04.1980
0.29,05.1980
0.08,06.1980
0.01,07.1980
0.02,08.1980
0.07,09.1980
0.03,10.1980
0.02,11.1980
0.05,12.1980
0.01,01.1981
0.04,02.1981
0.09,03.1981
0.1,04.1981
0.09,05.1981
0.25,06.1981
0.21,07.1981
0.12,08.1981
0.05,09.1981
0.25,10.1981
0.07,11.1981
0.01,12.1981
0.12,01.1982
0.04,02.1982
0.05,03.1982
0.06,04.1982
0.39,05.1982
0.14,06.1982
0.07,07.1982
0.04,08.1982
0.1,09.1982
0.03,10.1982
0.09,11.1982
0.06,12.1982
0.08,01.1983
0.06,02.1983
0.08,03.1983
0.08,04.1983
0.22,05.1983
0.11,06.1983
,07.1983
0.1,08.1983
0.03,09.1983
0.43,10.1983
0.06,11.1983
0.02,12.1983
0.01,01.1984
0.04,02.1984
0.15,03.1984
0.06,04.1984
0.05,05.1984
0.12,06.1984
0.01,07.1984
0.08,08.1984
0.03,09.1984
0.21,10.1984
0.07,11.1984
0.26,12.1984
0.03,01.1985
0.13,02.1985
0.21,03.1985
0.18,04.1985
0.05,05.1985
0.28,06.1985
0.04,07.1985
0.08,08.1985
0.15,09.1985
0.17,10.1985
0.12,11.1985
0.01,12.1985
0.0,01.1986
0.02,02.1986
0.06,03.1986
0.15,04.1986
0.26,05.1986
0.1,06.1986
0.01,07.1986
0.11,08.1986
0.32,09.1986
0.26,10.1986
0.15,11.1986
0.04,12.1986
0.08,01.1987
0.14,02.1987
0.08,03.1987
0.01,04.1987
0.38,05.1987
0.22,06.1987
0.1,07.1987
0.06,08.1987
0.15,09.1987
0.06,10.1987
0.06,11.1987
0.12,12.1987
0.04,01.1988
0.01,02.1988
0.25,03.1988
0.11,04.1988
0.03,05.1988
0.12,06.1988
0.06,07.1988
0.05,08.1988
0.17,09.1988
0.07,10.1988
0.08,11.1988
0.04,12.1988
0.04,01.1989
0.08,02.1989
0.09,03.1989
0.01,04.1989
0.14,05.1989
0.49,06.1989
0.06,07.1989
0.18,08.1989
0.15,09.1989
0.11,10.1989
0.0,11.1989
0.01,12.1989
0.06,01.1990
0.17,02.1990
0.14,03.1990
0.17,04.1990
0.19,05.1990
0.04,06.1990
0.09,07.1990
0.1,08.1990
0.25,09.1990
0.04,10.1990
0.05,11.1990
0.05,12.1990
0.03,01.1991
0.0,02.1991
0.05,03.1991
0.07,04.1991
0.21,05.1991
0.13,06.1991
0.06,07.1991
0.1,08.1991
0.4,09.1991
0.13,10.1991
0.06,11.1991
0.19,12.1991
0.04,01.1992
0.04,02.1992
0.03,03.1992
0.12,04.1992
0.16,05.1992
0.21,06.1992
0.13,07.1992
0.19,08.1992
0.1,09.1992
0.04,10.1992
0.15,11.1992
0.1,12.1992
0.06,01.1993
0.11,02.1993
0.09,03.1993
0.08,04.1993
0.35,05.1993
0.09,06.1993
0.04,07.1993
0.06,08.1993
0.24,09.1993
0.02,10.1993
0.04,11.1993
0.04,12.1993
0.01,01.1994
0.09,02.1994
0.11,03.1994
0.11,04.1994
0.09,05.1994
0.06,06.1994
0.07,07.1994
0.06,08.1994
0.07,09.1994
0.06,10.1994
0.19,11.1994
0.05,12.1994
0.04,01.1995
0.0,02.1995
0.07,03.1995
0.13,04.1995
0.24,05.1995
0.2,06.1995
0.06,07.1995
0.1,08.1995
0.2,09.1995
0.05,10.1995
0.01,11.1995
0.08,12.1995
0.0,01.1996
0.0,02.1996
0.07,03.1996
0.07,04.1996
0.06,05.1996
0.04,06.1996
0.38,07.1996
0.19,08.1996
0.2,09.1996
0.08,10.1996
0.11,11.1996
,12.1996
0.02,01.1997
0.09,02.1997
0.02,03.1997
0.15,04.1997
0.12,05.1997
0.1,06.1997
0.15,07.1997
0.13,08.1997
0.06,09.1997
0.13,10.1997
0.04,11.1997
0.1,12.1997
0.13,01.1998
0.01,02.1998
0.21,03.1998
0.11,04.1998
0.07,05.1998
0.09,06.1998
0.0,07.1998
0.02,08.1998
0.15,09.1998
0.22,10.1998
0.1,11.1998
0.05,12.1998
0.06,01.1999
0.04,02.1999
0.11,03.1999
0.23,04.1999
0.1,05.1999
0.29,06.1999
0.06,07.1999
0.04,08.1999
0.16,09.1999
0.07,10.1999
0.0,11.1999
0.12,12.1999
0.02,01.2000
0.05,02.2000
0.1,03.2000
0.17,04.2000
0.04,05.2000
0.22,06.2000
0.17,07.2000
0.0,08.2000
0.06,09.2000
0.27,10.2000
0.09,11.2000
0.07,12.2000
0.07,01.2001
0.08,02.2001
0.03,03.2001
0.03,04.2001
0.25,05.2001
0.02,06.2001
0.04,07.2001
0.06,08.2001
0.19,09.2001
0.11,10.2001
0.04,11.2001
0.03,12.2001
0.08,01.2002
0.02,02.2002
0.07,03.2002
0.17,04.2002
0.08,05.2002
0.15,06.2002
0.16,07.2002
0.05,08.2002
0.1,09.2002
0.15,10.2002
0.02,11.2002
0.06,12.2002
0.0,01.2003
0.03,02.2003
0.07,03.2003
0.05,04.2003
0.08,05.2003
0.16,06.2003
0.02,07.2003
0.15,08.2003
0.07,09.2003
0.03,10.2003
0.04,11.2003
0.04,12.2003
0.05,01.2004
0.05,02.2004
0.13,03.2004
0.05,04.2004
0.04,05.2004
0.23,06.2004
0.12,07.2004
0.16,08.2004
0.02,09.2004
0.16,10.2004
0.19,11.2004
0.02,12.2004
0.07,01.2005
0.1,02.2005
0.01,03.2005
0.01,04.2005
0.07,05.2005
0.16,06.2005
0.1,07.2005
0.14,08.2005
0.06,09.2005
0.04,10.2005
,11.2005
0.01,12.2005
0.01,01.2006
0.0,02.2006
0.09,03.2006
0.11,04.2006
0.1,05.2006
0.08,06.2006
0.11,07.2006
0.13,08.2006
0.13,09.2006
0.05,10.2006
0.05,11.2006
0.07,12.2006
0.07,01.2007
0.02,02.2007
0.26,03.2007
0.09,04.2007
0.27,05.2007
0.34,06.2007
0.2,07.2007
0.17,08.2007
0.19,09.2007
0.12,10.2007
0.02,11.2007
0.11,12.2007
0.02,01.2008
0.1,02.2008
0.11,03.2008
0.14,04.2008
0.15,05.2008
0.19,06.2008
0.03,07.2008
0.32,08.2008
0.02,09.2008
0.05,10.2008
0.02,11.2008
0.02,12.2008
0.01,01.2009
0.04,02.2009
0.08,03.2009
0.16,04.2009
0.15,05.2009
0.04,06.2009
0.11,07.2009
0.19,08.2009
0.15,09.2009
0.18,10.2009
0.01,11.2009
0.05,12.2009
0.09,01.2010
0.09,02.2010
0.03,03.2010
0.1,04.2010
0.07,05.2010
0.3,06.2010
0.19,07.2010
0.02,08.2010
0.12,09.2010
0.03,10.2010
0.03,11.2010
0.0,12.2010
0.0,01.2011
0.07,02.2011
0.0,03.2011
0.03,04.2011
0.3,05.2011
0.04,06.2011
0.1,07.2011
0.07,08.2011
0.05,09.2011
0.19,10.2011
0.07,11.2011
0.06,12.2011
0.07,01.2012
0.03,02.2012
0.16,03.2012
0.2,04.2012
0.12,05.2012
0.05,06.2012
0.01,07.2012
0.07,08.2012
0.12,09.2012
0.09,10.2012
0.03,11.2012
0.02,12.2012
0.04,01.2013
0.1,02.2013
0.04,03.2013
0.25,04.2013
0.47,05.2013
0.16,06.2013
0.32,07.2013
0.11,08.2013
0.07,09.2013
0.11,10.2013
0.03,11.2013
0.04,12.2013
0.0,01.2014
0.01,02.2014
0.04,03.2014
0.03,04.2014
0.14,05.2014
0.29,06.2014
0.13,07.2014
0.03,08.2014
0.07,09.2014
0.08,10.2014
0.08,11.2014
0.02,12.2014
0.06,01.2015
0.01,02.2015
0.08,03.2015
0.14,04.2015
0.63,05.2015
0.19,06.2015
0.24,07.2015
0.04,08.2015
0.04,09.2015
0.11,10.2015
0.15,11.2015
0.1,12.2015
0.0,01.2016
0.05,02.2016
0.03,03.2016
0.24,04.2016
0.08,05.2016
0.11,06.2016
0.12,07.2016
0.02,08.2016
0.14,09.2016
0.03,10.2016
0.02,11.2016
0.03,12.2016
0.05,01.2017
0.11,02.2017
0.08,03.2017
0.21,04.2017
