OkTemp,Date
38.0,01.1950
45.8,02.1950
49.2,03.1950
59.3,04.1950
68.7,05.1950
76.9,06.1950
76.2,07.1950
76.8,08.1950
70.9,09.1950
68.1,10.1950
47.2,11.1950
39.8,12.1950
39.7,01.1951
42.8,02.1951
48.6,03.1951
58.0,04.1951
68.4,05.1951
76.0,06.1951
82.5,07.1951
84.9,08.1951
73.0,09.1951
62.4,10.1951
43.9,11.1951
41.6,12.1951
44.5,01.1952
46.0,02.1952
47.5,03.1952
57.4,04.1952
69.0,05.1952
82.5,06.1952
82.2,07.1952
85.4,08.1952
76.2,09.1952
60.6,10.1952
48.6,11.1952
39.1,12.1952
43.1,01.1953
44.8,02.1953
55.3,03.1953
55.8,04.1953
68.7,05.1953
85.4,06.1953
79.8,07.1953
79.4,08.1953
77.1,09.1953
64.0,10.1953
49.6,11.1953
39.9,12.1953
38.0,01.1954
51.3,02.1954
47.5,03.1954
65.6,04.1954
63.0,05.1954
77.8,06.1954
87.4,07.1954
85.9,08.1954
79.0,09.1954
63.8,10.1954
51.7,11.1954
41.4,12.1954
38.7,01.1955
39.8,02.1955
49.5,03.1955
64.1,04.1955
70.6,05.1955
73.1,06.1955
83.1,07.1955
80.7,08.1955
74.9,09.1955
61.0,10.1955
44.9,11.1955
37.5,12.1955
36.1,01.1956
40.6,02.1956
50.5,03.1956
57.9,04.1956
72.6,05.1956
78.1,06.1956
83.0,07.1956
84.4,08.1956
76.6,09.1956
66.3,10.1956
47.1,11.1956
41.7,12.1956
33.2,01.1957
45.4,02.1957
46.7,03.1957
55.9,04.1957
65.7,05.1957
74.2,06.1957
83.5,07.1957
80.6,08.1957
69.2,09.1957
57.3,10.1957
45.6,11.1957
44.3,12.1957
39.4,01.1958
35.5,02.1958
41.0,03.1958
56.1,04.1958
69.3,05.1958
76.8,06.1958
80.1,07.1958
79.9,08.1958
73.2,09.1958
61.9,10.1958
51.4,11.1958
36.5,12.1958
33.0,01.1959
40.0,02.1959
49.5,03.1959
58.5,04.1959
70.3,05.1959
75.7,06.1959
77.4,07.1959
80.1,08.1959
72.6,09.1959
58.3,10.1959
43.5,11.1959
44.1,12.1959
36.3,01.1960
34.5,02.1960
39.7,03.1960
61.7,04.1960
66.5,05.1960
77.3,06.1960
78.1,07.1960
79.2,08.1960
74.5,09.1960
64.4,10.1960
51.3,11.1960
37.3,12.1960
36.2,01.1961
42.6,02.1961
52.2,03.1961
59.2,04.1961
67.7,05.1961
74.1,06.1961
79.1,07.1961
78.4,08.1961
70.6,09.1961
63.0,10.1961
46.5,11.1961
36.7,12.1961
32.3,01.1962
45.1,02.1962
48.1,03.1962
58.3,04.1962
74.3,05.1962
75.3,06.1962
82.2,07.1962
82.5,08.1962
71.4,09.1962
64.6,10.1962
49.4,11.1962
40.6,12.1962
28.3,01.1963
40.0,02.1963
53.8,03.1963
64.8,04.1963
70.3,05.1963
78.7,06.1963
83.1,07.1963
81.9,08.1963
75.1,09.1963
71.1,10.1963
52.3,11.1963
32.9,12.1963
40.1,01.1964
38.5,02.1964
47.1,03.1964
64.1,04.1964
69.9,05.1964
77.4,06.1964
85.3,07.1964
80.8,08.1964
72.3,09.1964
60.3,10.1964
49.9,11.1964
37.9,12.1964
38.7,01.1965
39.5,02.1965
40.7,03.1965
65.5,04.1965
71.3,05.1965
78.0,06.1965
84.5,07.1965
80.6,08.1965
73.9,09.1965
62.8,10.1965
56.3,11.1965
48.7,12.1965
33.8,01.1966
38.5,02.1966
52.8,03.1966
57.8,04.1966
68.6,05.1966
77.9,06.1966
86.4,07.1966
78.8,08.1966
70.5,09.1966
60.8,10.1966
54.3,11.1966
37.8,12.1966
41.8,01.1967
41.6,02.1967
56.3,03.1967
65.4,04.1967
66.8,05.1967
77.4,06.1967
79.6,07.1967
79.3,08.1967
70.9,09.1967
62.6,10.1967
49.3,11.1967
39.8,12.1967
36.6,01.1968
36.4,02.1968
50.7,03.1968
58.0,04.1968
64.6,05.1968
74.7,06.1968
79.8,07.1968
80.0,08.1968
70.5,09.1968
62.1,10.1968
46.2,11.1968
38.0,12.1968
38.8,01.1969
42.2,02.1969
42.0,03.1969
60.4,04.1969
67.7,05.1969
75.0,06.1969
83.9,07.1969
80.2,08.1969
73.2,09.1969
57.5,10.1969
48.7,11.1969
40.4,12.1969
31.7,01.1970
42.6,02.1970
45.0,03.1970
60.9,04.1970
69.2,05.1970
76.2,06.1970
82.1,07.1970
83.5,08.1970
75.1,09.1970
57.9,10.1970
46.0,11.1970
43.8,12.1970
36.9,01.1971
39.1,02.1971
49.1,03.1971
60.3,04.1971
67.3,05.1971
78.6,06.1971
80.7,07.1971
77.2,08.1971
73.2,09.1971
63.4,10.1971
49.0,11.1971
42.2,12.1971
34.9,01.1972
42.2,02.1972
53.3,03.1972
63.2,04.1972
67.5,05.1972
79.0,06.1972
79.8,07.1972
80.3,08.1972
75.8,09.1972
61.0,10.1972
43.4,11.1972
34.4,12.1972
33.3,01.1973
39.7,02.1973
52.5,03.1973
56.0,04.1973
66.7,05.1973
75.1,06.1973
79.7,07.1973
79.7,08.1973
70.6,09.1973
64.2,10.1973
53.1,11.1973
39.3,12.1973
35.0,01.1974
44.4,02.1974
54.8,03.1974
60.0,04.1974
71.5,05.1974
74.1,06.1974
82.6,07.1974
78.5,08.1974
65.5,09.1974
63.5,10.1974
49.3,11.1974
39.5,12.1974
40.2,01.1975
36.5,02.1975
46.0,03.1975
58.7,04.1975
67.3,05.1975
75.0,06.1975
78.0,07.1975
80.1,08.1975
68.3,09.1975
63.4,10.1975
50.6,11.1975
41.8,12.1975
39.0,01.1976
52.2,02.1976
52.3,03.1976
61.6,04.1976
63.5,05.1976
74.8,06.1976
79.8,07.1976
81.3,08.1976
72.5,09.1976
56.5,10.1976
43.9,11.1976
38.8,12.1976
29.2,01.1977
45.9,02.1977
54.1,03.1977
62.5,04.1977
70.0,05.1977
79.6,06.1977
83.0,07.1977
80.6,08.1977
78.0,09.1977
62.6,10.1977
50.9,11.1977
40.0,12.1977
26.6,01.1978
29.4,02.1978
49.0,03.1978
64.4,04.1978
68.0,05.1978
77.3,06.1978
87.0,07.1978
82.6,08.1978
79.7,09.1978
64.7,10.1978
50.4,11.1978
36.9,12.1978
25.4,01.1979
31.5,02.1979
51.1,03.1979
58.1,04.1979
65.7,05.1979
75.2,06.1979
80.9,07.1979
80.0,08.1979
73.1,09.1979
65.7,10.1979
46.5,11.1979
43.2,12.1979
38.2,01.1980
38.2,02.1980
46.3,03.1980
56.7,04.1980
69.0,05.1980
81.3,06.1980
88.3,07.1980
88.0,08.1980
76.2,09.1980
61.1,10.1980
50.2,11.1980
41.9,12.1980
37.6,01.1981
43.8,02.1981
51.9,03.1981
65.6,04.1981
65.7,05.1981
78.3,06.1981
84.2,07.1981
78.8,08.1981
74.1,09.1981
60.0,10.1981
50.3,11.1981
39.0,12.1981
35.3,01.1982
37.7,02.1982
52.7,03.1982
57.4,04.1982
68.2,05.1982
72.2,06.1982
81.0,07.1982
84.1,08.1982
74.4,09.1982
62.7,10.1982
48.5,11.1982
43.1,12.1982
38.6,01.1983
42.5,02.1983
48.8,03.1983
53.9,04.1983
64.6,05.1983
73.3,06.1983
81.5,07.1983
84.0,08.1983
74.9,09.1983
62.7,10.1983
50.4,11.1983
25.8,12.1983
33.9,01.1984
45.4,02.1984
46.8,03.1984
56.5,04.1984
68.4,05.1984
78.6,06.1984
81.5,07.1984
82.6,08.1984
71.5,09.1984
61.6,10.1984
49.6,11.1984
43.0,12.1984
30.6,01.1985
37.2,02.1985
53.0,03.1985
62.7,04.1985
70.0,05.1985
76.0,06.1985
80.9,07.1985
81.3,08.1985
73.1,09.1985
61.2,10.1985
46.0,11.1985
35.0,12.1985
43.5,01.1986
44.7,02.1986
55.5,03.1986
62.8,04.1986
69.0,05.1986
79.0,06.1986
85.8,07.1986
80.0,08.1986
74.8,09.1986
61.6,10.1986
44.8,11.1986
40.8,12.1986
35.1,01.1987
45.9,02.1987
50.3,03.1987
61.8,04.1987
72.6,05.1987
77.1,06.1987
80.1,07.1987
82.2,08.1987
72.4,09.1987
60.0,10.1987
50.5,11.1987
40.6,12.1987
34.2,01.1988
40.2,02.1988
49.5,03.1988
58.9,04.1988
